Project, Author, android.content.pm.ApplicationInfo, com.novoda.notils.cursor.CursorList, com.novoda.notils.cursor.CursorMarshaller, android.content.pm.PackageManager, java.util.List, java.lang.Throwable, android.content.Intent, android.util.AttributeSet, java.io.BufferedReader, L, T, android.webkit.WebView, java.io.BufferedWriter, com.novoda.notils.viewserver.WindowListener, android.database.CharArrayBuffer, java.lang.reflect.Array, StrictMode.ThreadPolicy.Builder, java.text.FieldPosition, java.util.ArrayList, android.os.StrictMode, java.text.SimpleDateFormat, java.util.TimeZone, com.novoda.notils.logger.LogLevel, java.util.Calendar, java.util.concurrent.ExecutorService, java.lang.reflect.Method, java.lang.Class, java.io.InputStream, java.lang.ThreadLocal, android.app.Activity, android.util.DisplayMetrics, com.novoda.notils.logger.Logger, StrictMode.VmPolicy.Builder, java.text.ParsePosition, float, java.util.Map, java.util.Collection, boolean, java.lang.String, com.novoda.notils.logger.LoggerTest$ValidatingLogCommand, android.view.KeyEvent, long, android.support.v4.app.FragmentManager, android.net.Uri, android.widget.Toast, java.util.Queue, com.novoda.notils.logger.toast.StackingToastDisplayer, android.database.ContentObserver, java.util.concurrent.locks.ReentrantReadWriteLock, android.support.v4.widget.CursorAdapter, java.lang.StringBuilder, android.view.ViewGroup, android.database.Cursor, com.novoda.notils.log.Logger, android.view.View, java.io.OutputStream, java.util.Iterator, java.util.Locale, java.net.ServerSocket, java.lang.Object, android.content.Context, android.os.Bundle, java.lang.StringBuffer, android.view.inputmethod.InputMethodManager, java.lang.Integer, int, java.io.StringWriter, com.novoda.notils.widget.webview.RawWebView$StreamTils, java.util.Date, android.database.DataSetObserver, com.novoda.notils.logger.LogCommand, java.util.Map$Entry, Logger, android.animation.Animator, android.text.Editable, android.widget.FrameLayout, com.novoda.notils.viewserver.ViewServer, java.io.Closeable, java.util.Scanner, java.net.Socket, java.lang.StackTraceElement, java.io.PrintWriter, java.lang.Thread, WindowListener, android.app.FragmentManager, java.text.NumberFormat, android.app.ActivityManager, android.content.ContentResolver, java.text.DateFormatSymbols, java.lang.CharSequence, 
NoTils/, Ataul, 1, 0, 0, 0, 5, 52, 0, 0, 1, 0, 0, 0, 5, 3, 0, 51, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 8, 0, 0, 2, 0, 0, 1, 8, 12, 197, 0, 0, 0, 0, 0, 42, 8, 9, 0, 2, 0, 5, 0, 0, 0, 11, 5, 0, 0, 1, 6, 40, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 
NoTils/, Stefan, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NoTils/, Xavi, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
NoTils/, Friedger, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NoTils/, Sebastiano, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NoTils/, frankiesardo, 2, 11, 48, 2, 12, 83, 0, 0, 0, 0, 38, 0, 0, 0, 2, 44, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 13, 0, 0, 7, 6, 2, 0, 0, 6, 2, 20, 5, 241, 0, 0, 0, 10, 38, 0, 0, 0, 4, 0, 0, 0, 11, 28, 1, 20, 0, 0, 0, 0, 21, 44, 2, 0, 6, 0, 127, 2, 0, 0, 9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 4, 0, 0, 0, 6, 10, 0, 0, 
NoTils/, Daniele, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 
NoTils/, Benjamin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NoTils/, Ferran, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
NoTils/, Volker, 3, 0, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
