Project, Author, android.content.ClipboardManager, android.text.ClipboardManager, com.danvelazco.fbwrapper.Bundle, android.util.ArrayMap, java.lang.Runtime, android.webkit.CookieSyncManager, com.danvelazco.fbwrapper.webview.WebView, com.danvelazco.fbwrapper.webview.CustomViewCallback, com.danvelazco.fbwrapper.WebView, android.app.Activity, android.net.Uri[], com.danvelazco.fbwrapper.SharedPreferences, Intent, android.content.Intent, android.content.Context, java.io.BufferedReader, AlertDialog, com.danvelazco.fbwrapper.MenuItem, com.danvelazco.fbwrapper.Intent, com.danvelazco.fbwrapper.View, android.webkit.WebView, com.squareup.picasso.Target, WebSettings, com.danvelazco.fbwrapper.Preference, com.danvelazco.fbwrapper.activity.ValueCallback, java.lang.reflect.Array, com.danvelazco.fbwrapper.Uri, com.danvelazco.fbwrapper.Bitmap, com.danvelazco.fbwrapper.util.OrbotHelper, android.os.Bundle, android.graphics.Bitmap, com.danvelazco.fbwrapper.webview.FacebookWebChromeClient, android.preference.Preference, com.danvelazco.fbwrapper.GestureDetector, java.io.OutputStreamWriter, PreferenceCategory, com.danvelazco.fbwrapper.webview.FileChooserParams, android.preference.EditTextPreference, java.lang.reflect.Constructor, com.danvelazco.fbwrapper.DialogInterface, java.util.StringTokenizer, android.widget.ProgressBar, com.danvelazco.fbwrapper.Callback, Configuration, com.danvelazco.fbwrapper.webview.FacebookWebViewClient, com.danvelazco.fbwrapper.webview.FacebookWebChromeClient$WebChromeClientListener, android.content.SharedPreferences, android.os.Handler, java.lang.reflect.Method, java.lang.Class, android.content.DialogInterface, android.content.res.Configuration, android.os.Message, com.danvelazco.fbwrapper.webview.ValueCallback, com.danvelazco.fbwrapper.ActionBar, com.danvelazco.fbwrapper.widget.FacebookWebView, java.io.File, Picasso.LoadedFrom, java.lang.Throwable, float, android.view.Menu, boolean, com.danvelazco.fbwrapper.webview.FacebookWebViewClient$WebViewClientListener, long, com.danvelazco.fbwrapper.activity.Intent, android.graphics.drawable.Drawable, java.lang.String, com.danvelazco.fbwrapper.activity.BroadcastReceiver, java.io.InputStreamReader, java.lang.Process, android.widget.ListView, com.danvelazco.fbwrapper.webview.FacebookWebView, android.view.KeyEvent, WebSettings.PluginState, com.danvelazco.fbwrapper.Menu, GeolocationPermissions.Callback, android.net.Uri, com.danvelazco.fbwrapper.MotionEvent, java.lang.StringBuilder, com.danvelazco.fbwrapper.activity.Context, android.view.View, android.content.pm.PackageManager, android.content.ClipData, android.view.ContextMenu, java.lang.Object, com.danvelazco.fbwrapper.ProgressBar, android.util.AttributeSet, android.webkit.ConsoleMessage, android.net.ConnectivityManager, com.danvelazco.fbwrapper.activity.DialogInterface, android.widget.RelativeLayout, MenuInflater, android.view.MotionEvent, com.danvelazco.fbwrapper.FbWrapper$MenuDrawerButtonListener, int, java.io.FileOutputStream, android.support.v4.widget.DrawerLayout, WebSettings.RenderPriority, android.content.BroadcastReceiver, ContextMenu.ContextMenuInfo, android.net.NetworkInfo, java.lang.reflect.Field, android.webkit.GeolocationPermissions.Callback, com.danvelazco.fbwrapper.webview.ConsoleMessage, com.danvelazco.fbwrapper.webview.JsResult, android.view.MenuItem, WebChromeClient.FileChooserParams, android.app.ActionBar, com.danvelazco.fbwrapper.Configuration, android.webkit.WebSettings, android.widget.FrameLayout, Uri, com.danvelazco.fbwrapper.ValueCallback, com.danvelazco.fbwrapper.KeyEvent, android.view.MenuInflater, CheckBoxPreference, java.lang.Boolean, android.view.LayoutInflater, FacebookWebChromeClient.WebChromeClientListener, com.danvelazco.fbwrapper.PreferenceScreen, android.app.AlertDialog, android.preference.PreferenceScreen, FacebookWebViewClient.WebViewClientListener, 
Tinfoil-Facebook/, ubergesundheit, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, Alex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, Tolga, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, Spanti, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, easyaspi314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, Daniel, 3, 2, 2, 3, 6, 3, 4, 6, 20, 6, 2, 1, 7, 44, 39, 6, 1, 3, 1, 5, 55, 2, 4, 1, 10, 29, 6, 1, 2, 27, 14, 3, 9, 2, 3, 1, 6, 4, 9, 2, 3, 7, 1, 1, 3, 6, 12, 3, 12, 45, 34, 14, 3, 18, 1, 1, 9, 2, 12, 10, 4, 131, 6, 15, 2, 4, 408, 1, 3, 9, 1, 3, 13, 3, 3, 3, 30, 38, 6, 1, 20, 3, 3, 6, 43, 1, 10, 3, 3, 1, 5, 3, 25, 2, 157, 2, 2, 3, 3, 2, 3, 27, 3, 1, 2, 11, 2, 4, 1, 9, 9, 2, 8, 6, 4, 1, 2, 3, 3, 1, 21, 5, 3, 
Tinfoil-Facebook/, Mladen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, Steven, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, mellort, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
Tinfoil-Facebook/, averageapps, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
