Project, Author, android.view.MotionEvent, javax.microedition.khronos.egl.EGLSurface, PreferencesEntry, int, float, android.view.Menu, javax.microedition.khronos.egl.EGLDisplay, android.app.ProgressDialog, java.util.ArrayList, java.util.Date, boolean, android.view.MenuInflater, java.lang.String, android.widget.AdapterView.AdapterContextMenuInfo, ContextMenu.ContextMenuInfo, com.bigbluecup.android.PEHelper, javax.microedition.khronos.opengles.GL10, android.widget.TextView, com.bigbluecup.android.PreferencesEntry, android.view.KeyEvent, com.bigbluecup.android.EngineGlue, long, android.text.Editable, javax.microedition.khronos.egl.EGLConfig, android.widget.ListView, com.bigbluecup.android.CustomGlSurfaceView, android.view.MenuItem, android.widget.Toast, android.view.ContextMenu.ContextMenuInfo, android.content.Intent, android.content.Context, android.view.SurfaceHolder, PreferencesArrayAdapter, com.bigbluecup.android.AgsEngine$MessageHandler, android.media.AudioManager, android.preference.ListPreference, com.bigbluecup.android.KeyCode, javax.microedition.khronos.egl.EGLContext, PreferencesEntry.Flags, android.content.SharedPreferences, android.widget.CheckBox, android.view.ViewGroup, com.bigbluecup.android.AgsEngine, android.content.DialogInterface, android.content.res.Configuration, android.os.Message, android.media.AudioTrack, com.bigbluecup.android.Renderer, android.preference.Preference, com.bigbluecup.android.Renderer$OGLRenderer, android.view.View, com.bigbluecup.android.IAgsApp, android.os.PowerManager, java.io.File, android.view.Display, android.view.LayoutInflater, com.bigbluecup.android.CustomGlSurfaceView$Renderer, short, android.view.ContextMenu, java.lang.Object, android.os.Bundle, android.preference.CheckBoxPreference, android.app.AlertDialog, java.lang.reflect.Array, android.content.SharedPreferences.Editor, javax.microedition.khronos.opengles.GL, javax.microedition.khronos.egl.EGL10, PowerManager.WakeLock, android.widget.EditText, android.view.inputmethod.InputMethodManager, android.preference.PreferenceGroup, 
ags/, Tzach, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 
ags/, tzachs, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Per, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Jochen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Kirill, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Bernhard, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, SpeechCenter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Benjamin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, monkey0506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ags/, Janet, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
