Project, Author, android.preference.Preference, android.preference.TwoStatePreference, com.cyanogenmod.settings.device.DeviceSettings.TabsAdapter.TabInfo, int, float, com.cyanogenmod.settings.device.DeviceSettings$TabsAdapter$TabInfo, java.util.ArrayList, java.io.FileOutputStream, boolean, android.content.res.Resources, com.android.internal.telephony.IccCardStatus, android.graphics.drawable.Drawable, com.cyanogenmod.settings.device.VibratorTuningPreference, java.lang.String, android.widget.Button, android.content.SharedPreferences.Editor, android.app.ActionBar.Tab, android.support.v4.view.ViewPager, android.graphics.drawable.LayerDrawable, android.app.Activity, com.cyanogenmod.settings.device.DeviceSettings$TabsAdapter, android.view.MenuItem, android.preference.ListPreference, android.content.Intent, android.app.ActionBar, android.os.Parcel, ?, java.io.BufferedReader, android.os.Vibrator, com.android.internal.telephony.IccCardApplicationStatus, android.content.SharedPreferences, java.lang.Class, android.content.DialogInterface, android.graphics.LightingColorFilter, android.app.FragmentTransaction, android.widget.TextView, android.view.View, java.lang.Boolean, android.telephony.SignalStrength, java.lang.Object, android.content.Context, android.os.Bundle, android.app.AlertDialog, android.util.AttributeSet, android.preference.PreferenceScreen, AlertDialog.Builder, double, java.io.File, android.widget.SeekBar, 
android_device_htc_m7-common/, Matt, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Gustavo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, kristofpetho, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Iliyan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Ondrej, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Ricardo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Nick, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, pvolkov, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Daniel, 2, 0, 1, 22, 1, 2, 1, 2, 4, 1, 0, 3, 1, 31, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 0, 1, 1, 1, 0, 7, 3, 2, 1, 3, 2, 2, 1, 0, 2, 9, 8, 2, 1, 1, 1, 3, 0, 4, 
android_device_htc_m7-common/, Ethan, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 
android_device_htc_m7-common/, Tom, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Stephen, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, jared, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_device_htc_m7-common/, Nicholas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
