Project, Author, android.filterfw.io.GraphReader, android.filterfw.core.KeyValueMap, FrameFormat, java.util.Stack, android.filterfw.core.AsyncRunner$OnRunnerDoneListener, android.view.View.OnClickListener, java.nio.ByteBuffer, android.filterfw.core.FilterConnection, FilterConnection, java.util.List, android.widget.ArrayAdapter, android.app.Activity, android.filterfw.io.PatternScanner, java.lang.annotation.Annotation, android.filterfw.io.TextGraphReader.Command, java.lang.Package, android.content.Intent, android.filterfw.core.AsyncRunner, GLEnvironment, android.filterfw.core.GraphRunner$OnRunnerDoneListener, Throughput, android.filterfw.core.SyncRunner, MediaRecorder.OnErrorListener, android.graphics.SurfaceTexture, android.media.effect.EffectFactory, android.filterfw.core.InputPort, android.filterfw.core.GenerateProgramPort, MutableFrameFormat, java.lang.Exception, java.lang.reflect.Array, android.filterfw.core.NativeFrame, android.filterfw.core.JavaFrame, android.filterfw.GraphEnvironment$GraphHandle, android.os.Handler, android.filterfw.core.ProgramParameter, android.graphics.Bitmap, android.hardware.Camera, android.filterfw.core.MutableFrameFormat, com.example.nativemedia.AdapterView, android.filterpacks.base.NullFilter, java.util.ArrayList, android.graphics.Canvas, android.filterfw.core.Protocol$ParameterSig, android.filterfw.core.NativeAllocatorTag, android.filterfw.GraphEnvironment.GraphHandle, android.media.effect.EffectUpdateListener, android.filterfw.core.TargetPort, android.filterfw.io.TextGraphReader$Command, android.filterfw.core.AsyncRunner$FrameReceivedContents, java.lang.String, TargetPort, com.example.nativemedia.MyRenderer, android.filterfw.core.FilterGraph, android.filterfw.core.ProgramParameters, java.util.HashMap, android.filterfw.core.SourcePort, java.io.ObjectInputStream, java.util.LinkedList, android.filterfw.core.FilterEnvironment, android.filterfw.core.FilterSurfaceRenderer, android.filterfw.core.Frame, android.filterfw.core.PortToPortConnection, android.filterfw.core.ShaderProgram, java.lang.Class, GenerateFinalPort, FilterContext.OnFrameReceivedListener, KeyValueMap, com.example.nativemedia.NativeMedia$VideoSink, android.filterpacks.videosink.MediaEncoderFilter$OnRecordingDoneListener, InputPort, int, GenerateProgramPorts, android.filterpacks.videoproc.BackDropperFilter$LearningDoneListener, Camera.Parameters, java.io.File, android.filterpacks.base.FrameBranch, android.filterfw.core.GraphRunner, ProgramParameter, android.graphics.Paint, java.lang.Throwable, android.filterfw.core.Protocol, android.filterfw.GraphEnvironment, float, boolean, GenerateProgramPort, android.hardware.SensorManager, Program, com.example.nativemedia.NativeMedia$GLViewVideoSink, android.filterfw.core.FilterFunction, android.filterfw.core.Filter, java.io.InputStreamReader, com.example.nativemedia.NativeMedia$SurfaceHolderVideoSink, java.io.InputStream, java.util.Vector, android.view.KeyEvent, java.lang.Integer, Effect, long, android.graphics.Rect, android.net.Uri, FilterGraph, MediaPlayer.OnVideoSizeChangedListener, java.lang.ClassLoader, ProgramVariable, SurfaceTexture.OnFrameAvailableListener, MediaPlayer.OnCompletionListener, android.filterfw.core.VertexFrame, android.filterfw.core.SerializedFrame$DirectByteOutputStream, android.filterfw.core.FrameFormat, java.io.FileDescriptor, android.filterfw.core.FilterSurfaceView, Filter, android.widget.Spinner, android.filterfw.geometry.Point, android.filterfw.core.FilterFactory, android.view.View, android.filterfw.core.FrameManager, java.util.Iterator, android.filterfw.core.OutputPort, android.filterfw.core.NativeBuffer, android.filterfw.core.FilterParameter, android.filterfw.core.FilterContext, java.lang.Object, FilterEnvironment.OnFrameReceivedListener, android.media.effect.EffectContext, android.content.Context, Frame, android.filterfw.core.GLEnvironment, android.util.AttributeSet, java.util.HashSet, android.hardware.Sensor, android.app.Instrumentation, java.util.regex.Matcher, android.widget.AdapterView, FilterParameter, android.media.MediaMetadataRetriever, android.filterfw.core.StopWatchMap, java.lang.StringBuffer, android.content.res.AssetFileDescriptor, android.view.MotionEvent, NativeFrame, android.filterfw.core.Protocol.ParameterSig, android.os.ConditionVariable, GLFrame, android.media.MediaRecorder, java.io.StringWriter, android.filterpacks.videosrc.SurfaceTextureSource$SurfaceTextureSourceListener, android.hardware.SensorEvent, java.util.regex.Pattern, java.io.OutputStream, android.filterpacks.videoproc.BackDropperFilter, java.io.FileOutputStream, android.filterfw.core.Scheduler, MediaRecorder.OnInfoListener, java.util.Map$Entry, android.os.Bundle, android.filterfw.core.GLFrame, android.widget.Button, android.filterfw.core.GenerateFieldPort, MediaPlayer.OnPreparedListener, java.lang.reflect.Field, java.util.Set, android.filterfw.io.TextGraphReader, android.filterfw.core.AsyncRunner$RunnerResult, android.filterpacks.videoproc.BackDropperFilter.LearningDoneListener, java.io.ObjectOutputStream, android.filterfw.core.SimpleFrame, com.example.nativemedia.MyGLSurfaceView, android.view.SurfaceHolder, GenerateFieldPort, android.filterfw.core.AsyncRunner$AsyncRunnerTask, android.filterfw.core.SerializedFrame, OutputPort, java.lang.reflect.Constructor, android.filterfw.core.OnRunnerDoneListener, android.view.Surface, android.filterfw.core.FilterPort, SourcePort, android.filterfw.core.Program, android.filterfw.geometry.Quad, java.util.Random, android.filterfw.core.FrameHandle, android.media.filterfw.samples.CameraEffectsRecordingSample, java.io.BufferedOutputStream, JavaFrame, android.filterpacks.base.CallbackFilter$CallbackRunnable, android.media.MediaPlayer, android.media.CamcorderProfile, double, java.io.ByteArrayOutputStream, android.view.SurfaceView, android.media.effect.Effect, java.util.concurrent.ScheduledThreadPoolExecutor, 
android_system_media/, Kévin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, Timothy, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, Eino-Ville, 1, 0, 0, 0, 0, 0, 6, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 0, 156, 0, 0, 0, 0, 0, 2, 9, 32, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 2, 230, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 93, 0, 67, 3, 0, 4, 0, 0, 0, 15, 329, 0, 6, 5, 0, 0, 4, 0, 1, 2, 0, 0, 352, 135, 0, 2, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 0, 12, 0, 0, 0, 2, 4, 0, 5, 2, 0, 0, 47, 1, 0, 1, 0, 4, 0, 0, 0, 1, 4, 0, 0, 112, 13, 0, 6, 0, 2, 5, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0, 0, 0, 1, 2, 1, 0, 11, 0, 0, 0, 0, 0, 45, 0, 0, 2, 0, 5, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 13, 4, 1, 8, 1, 2, 0, 0, 0, 1, 0, 8, 0, 0, 0, 0, 0, 0, 
android_system_media/, Andreas, 2, 24, 4, 1, 0, 0, 8, 0, 0, 5, 2, 0, 3, 2, 1, 0, 0, 1, 3, 1, 1, 2, 0, 16, 0, 7, 1, 3, 0, 71, 3, 1, 1, 1, 0, 17, 1, 24, 2, 1, 2, 0, 0, 2, 1, 0, 0, 1, 0, 287, 0, 1, 14, 0, 7, 0, 0, 3, 0, 2, 99, 0, 11, 24, 1, 3, 0, 3, 0, 13, 397, 1, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 88, 101, 2, 1, 1, 2, 0, 36, 1, 2, 2, 1, 0, 3, 0, 22, 1, 0, 0, 1, 2, 0, 3, 1, 2, 0, 65, 0, 1, 15, 2, 30, 2, 5, 14, 1, 4, 4, 0, 108, 35, 0, 0, 7, 4, 10, 2, 4, 2, 0, 3, 2, 0, 0, 3, 2, 1, 1, 1, 0, 5, 1, 0, 2, 1, 1, 25, 2, 0, 0, 1, 0, 5, 1, 12, 0, 1, 1, 12, 4, 5, 0, 0, 0, 0, 4, 14, 1, 1, 0, 15, 2, 4, 9, 4, 0, 10, 6, 1, 0, 0, 0, 0, 1, 10, 0, 1, 1, 2, 0, 1, 
android_system_media/, Ruben, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, Yifan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, bryant_liu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, Iliyan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, Jim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
android_system_media/, Ed, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
