Project, Author, java.util.Properties, int, java.io.StringWriter, NamespaceDiscovery, org.apache.commons.exec.ExecuteStreamHandler, java.util.regex.Pattern, java.util.Map, java.util.ArrayList, java.net.URL, boolean, com.theoryinpractise.clojure.NamespaceDiscoveryTest$NamespaceData, java.util.Map$Entry, java.lang.String, org.apache.commons.exec.CommandLine, java.io.InputStreamReader, com.theoryinpractise.clojure.NamespaceInFile, java.io.InputStream, java.util.Vector, java.util.List, org.codehaus.plexus.compiler.util.scan.SourceInclusionScanner, java.lang.ProcessBuilder, org.apache.maven.project.MavenProject, java.io.BufferedReader, java.lang.StringBuilder, com.theoryinpractise.clojure.NamespaceDiscovery, java.util.Set, org.apache.maven.plugin.logging.Log, org.apache.maven.artifact.Artifact, NamespaceInFile, java.io.OutputStream, java.lang.Boolean, org.codehaus.plexus.compiler.util.scan.mapping.SourceMapping, java.lang.Object, com.theoryinpractise.clojure.InputStreamPumper, java.lang.Process, java.io.PrintWriter, java.lang.Thread, java.util.Enumeration, java.lang.reflect.Array, java.util.Scanner, java.util.regex.Matcher, ClojureReplMojo, java.io.File, java.io.FileWriter, 
clojure-maven-plugin/, Andreas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Robert, 3, 2, 2, 0, 0, 0, 0, 2, 0, 3, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 9, 0, 0, 13, 0, 0, 0, 15, 0, 
clojure-maven-plugin/, Hugo, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 13, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 0, 
clojure-maven-plugin/, Vadim, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
clojure-maven-plugin/, Paudi, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 2, 0, 
clojure-maven-plugin/, Mark, 3, 21, 9, 8, 0, 7, 17, 1, 2, 40, 14, 5, 198, 0, 11, 1, 2, 3, 72, 1, 6, 3, 6, 32, 2, 9, 12, 6, 25, 0, 5, 0, 5, 0, 16, 21, 0, 2, 97, 3, 4, 1, 129, 1, 
clojure-maven-plugin/, Tim, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 2, 0, 
clojure-maven-plugin/, Sjur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Daniel, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
clojure-maven-plugin/, Alex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
