Project, Author, org.apache.myfaces.custom.stylesheet.Stylesheet, com.idega.block.web2.business.JQueryPlugin, javax.faces.component.UIComponent, com.idega.block.web2.business.Web2Business, Accordion, int, java.util.Map, java.util.Collection, com.idega.block.web2.presentation.Sound, boolean, long, com.idega.presentation.ui.TextInput, java.lang.String, com.idega.idegaweb.IWMainApplicationSettings, com.idega.presentation.ui.SubmitButton, com.idega.block.web2.presentation.Accordion, com.idega.presentation.Layer, java.util.List, com.idega.presentation.Image, com.octo.captcha.component.image.wordtoimage.WordToImage, javax.servlet.http.HttpServletRequest, java.io.ByteArrayOutputStream, org.apache.myfaces.renderkit.html.util.AddResource, java.lang.Boolean, javax.faces.context.FacesContext, com.octo.captcha.component.image.backgroundgenerator.BackgroundGenerator, com.idega.block.web2.business.JQuery, com.octo.captcha.component.image.fontgenerator.FontGenerator, Sound, javax.servlet.ServletConfig, java.lang.StringBuilder, com.sun.image.codec.jpeg.JPEGImageEncoder, com.octo.captcha.component.image.color.RandomRangeColorGenerator, javax.servlet.ServletOutputStream, java.awt.image.BufferedImage, com.idega.block.web2.business.JQueryUIType, com.idega.idegaweb.IWApplicationContext, javax.servlet.http.HttpServletResponse, com.idega.presentation.IWContext, java.util.Iterator, com.idega.presentation.Script, com.idega.presentation.ui.Form, java.util.ArrayList, com.octo.captcha.component.word.wordgenerator.WordGenerator, com.octo.captcha.component.image.textpaster.TextPaster, java.lang.Object, com.idega.idegaweb.IWBundle, java.lang.reflect.Array, javax.faces.el.ValueBinding, com.octo.captcha.service.image.ImageCaptchaService, java.lang.StringBuffer, com.idega.presentation.Span, com.idega.util.FilePathBuilder, com.idega.presentation.Page, 
com.idega.block.web2.0/, Justinas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
com.idega.block.web2.0/, Vitautas, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
com.idega.block.web2.0/, Anton, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Arunas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Tryggvi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Grimur, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 1, 13, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 1, 
com.idega.block.web2.0/, Martynas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Aleksandras, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
com.idega.block.web2.0/, aleksandras, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Gediminas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Valdas, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 0, 0, 10, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 0, 0, 
com.idega.block.web2.0/, idega, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Thorhallur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 
com.idega.block.web2.0/, Eirikur, 2, 2, 9, 8, 1, 9, 1, 0, 2, 32, 3, 1, 369, 1, 2, 3, 11, 12, 0, 1, 1, 1, 6, 1, 8, 1, 2, 1, 0, 1, 2, 1, 1, 1, 1, 2, 0, 1, 13, 1, 3, 2, 4, 1, 1, 7, 5, 8, 0, 1, 61, 1, 1, 2, 
com.idega.block.web2.0/, Þórhallur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, Þórhallur, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 1, 7, 0, 2, 0, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 4, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 
com.idega.block.web2.0/, Saulius, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
com.idega.block.web2.0/, lapiukshtiss, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
