Project, Author, com.bazaarvoice.commons.data.dao.mongo.dbo.PipelineOperatorMongoDBObject$ProjectedField, int, java.util.regex.Pattern, java.util.Map, java.util.Collection, java.util.Date, boolean, TestAuditAction, AuditActionMongoMarshaller, com.bazaarvoice.commons.data.dao.mongo.audit.MongoDBObject, com.mongodb.Mongo, java.lang.String, com.bazaarvoice.commons.data.dao.mongo.dbo.QueryMongoDBObject, org.bson.BSONObject, java.util.List, java.lang.reflect.Array, org.apache.commons.logging.Log, long, test.integration.dao.GenericAuditActionDAORW, com.bazaarvoice.commons.data.dao.mongo.audit.AuditAction, com.bazaarvoice.commons.data.dao.mongo.audit.AuditActionClassToTypeConverter, MongoDBObject, ?, ?extendscom.bazaarvoice.commons.data.model.AuditAction, test.integration.dao.AuditAction, com.mongodb.gridfs.GridFS, java.lang.reflect.Method, java.lang.Iterable, java.util.Set, java.lang.Class, com.mongodb.BasicDBObject, com.mongodb.DBObject, java.lang.Number, test.integration.dao.TestUser, T, java.lang.Object, java.lang.Enum, com.bazaarvoice.commons.data.dao.mongo.dbo.MongoDBObject$DBObjectToMongoDBObjectFunction, com.bazaarvoice.commons.data.dao.mongo.audit.AuditActionMongoFields, java.util.Random, test.integration.dao.impl.TestDummyUserDAORW, com.bazaarvoice.commons.data.dao.mongo.dbo.UpdateMongoDBObject, test.integration.dao.TestUpdateAuditAction, TestUpdateAuditAction, TestUser, com.bazaarvoice.commons.data.dao.mongo.MongoDBObject, test.integration.dao.impl.MongoDBObject, com.bazaarvoice.commons.data.dao.mongo.dbo.PipelineOperatorMongoDBObject$ComputedAccumulator, com.mongodb.MongoOptions, com.bazaarvoice.commons.data.dao.mongo.MongoDataMarshaller, com.bazaarvoice.commons.data.dao.mongo.dbo.MongoDBObject, com.bazaarvoice.commons.data.dao.mongo.dbo.SortMongoDBObject, com.bazaarvoice.commons.data.model.AuditAction, com.bazaarvoice.commons.data.model.SortDirection, 
commons-data-mongodao/, bvbuild, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Shawn, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Michael, 0, 19, 4, 6, 40, 8, 22, 6, 6, 2, 2, 232, 10, 4, 15, 34, 2, 6, 2, 2, 14, 10, 4, 2, 2, 2, 2, 12, 2, 22, 4, 7, 2, 2, 29, 56, 2, 2, 20, 2, 2, 4, 4, 2, 4, 2, 2, 0, 0, 2, 4, 2, 6, 6, 
commons-data-mongodao/, Judd, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Maven, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Dusty, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Reason, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Scott, 1, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, dustin.herrman, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, jenkins, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, mgoodnow, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
commons-data-mongodao/, Alexander, 1, 13, 2, 3, 23, 4, 11, 3, 3, 1, 1, 149, 5, 2, 8, 21, 1, 3, 1, 1, 7, 5, 2, 1, 1, 1, 1, 6, 1, 11, 5, 9, 1, 1, 15, 30, 1, 1, 10, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 3, 3, 
