Project, Author, EmbeddedJmxTrans, org.jmxexporter.MetricCollector, org.w3c.dom.NodeList, javax.net.ssl.TrustManagerFactory, com.sun.net.httpserver.HttpsParameters, org.jmxtrans.embedded.output.StatsDIntegrationTest, EmbeddedJmxTransFactory, java.nio.ByteBuffer, java.net.HttpURLConnection, org.w3c.dom.Node, java.util.List, com.fasterxml.jackson.core.JsonParser, org.jmxtrans.embedded.spring.SpringEmbeddedJmxTrans, java.lang.Throwable, org.jmxexporter.QueryAttribute, org.springframework.beans.factory.support.BeanDefinitionBuilder, org.jmxtrans.embedded.output.CachingReference, org.jmxtrans.embedded.EmbeddedJmxTrans$EmbeddedJmxTransShutdownHook, org.jmxtrans.embedded.output.CsvWriter, org.jmxtrans.embedded.config.Query, org.springframework.beans.factory.support.AbstractBeanDefinition, org.jmxtrans.embedded.QueryAttribute, java.io.BufferedReader, PyObject, org.jmxexporter.config.Query, java.io.OutputStreamWriter, CopperEggWriter, SpringEmbeddedJmxTrans, org.springframework.beans.factory.xml.ParserContext, T, java.security.KeyStore, javax.net.ssl.SSLSession, javax.management.openmbean.CompositeType, org.jmxexporter.output.OutputWriter, javax.management.MBeanServer, org.jmxtrans.embedded.EmbeddedJmxTrans, java.lang.reflect.Array, java.lang.Integer, com.fasterxml.jackson.core.JsonToken, org.jmxexporter.util.concurrent.DiscardingBlockingQueue, com.fasterxml.jackson.core.JsonFactory, org.jmxtrans.embedded.util.net.SocketWriter, java.util.ArrayList, org.jmxexporter.Query.QueryAttribute, PyList, javax.net.ssl.SSLSocketFactory, java.util.concurrent.ThreadFactory, org.jmxtrans.embedded.util.concurrent.DiscardingBlockingQueue, java.util.StringTokenizer, AbstractOutputWriter, org.jmxexporter.util.pool.KeyedPoolableObjectFactory, org.jmxtrans.embedded.output.LibratoWriter, LibratoWriter, javax.servlet.ServletContextEvent, OutputWriter, javax.management.Attribute, org.jmxtrans.embedded.QueryResult, fr.xebia.management.jmxexporter.output.OutputWriter, org.supercsv.io.ICsvListWriter, java.lang.Iterable, org.apache.commons.pool.impl.GenericKeyedObjectPool, org.springframework.core.io.Resource, java.lang.Runnable, org.jmxtrans.embedded.util.net.HostAndPort, org.mockito.invocation.InvocationOnMock, org.jmxexporter.QueryResult, org.jmxtrans.embedded.util.pool.Config, byte, java.io.InputStream, java.net.InetSocketAddress, org.jmxexporter.config.JmxExporter, org.slf4j.Logger, org.springframework.core.io.ResourceLoader, java.nio.charset.Charset, javax.management.ObjectName, javax.management.AttributeList, Result, org.apache.commons.pool2.impl.GenericKeyedObjectPool, java.util.concurrent.BlockingQueue, org.jmxtrans.embedded.output.GraphiteHttpWriter, Query, java.io.File, org.apache.commons.httpclient.methods.PostMethod, javax.net.ssl.SSLParameters, org.jmxexporter.output.ManagedGenericKeyedObjectPool, java.io.Reader, org.jmxtrans.embedded.util.pool.PooledObject, javax.net.ssl.HttpsURLConnection, float, org.apache.commons.pool.BaseKeyedPoolableObjectFactory, java.util.Map, java.util.SortedMap, javax.management.openmbean.CompositeData, java.net.URL, boolean, QueryResult, java.lang.String, com.fasterxml.jackson.databind.JsonNode, org.jmxtrans.embedded.output.StatsDWriter, org.jmxtrans.embedded.config.ConfigurationParser, org.jmxexporter.util.pool.Config, java.util.concurrent.TimeUnit, long, com.sun.net.httpserver.HttpExchange, ConfigurationParser, java.util.concurrent.Callable, javax.management.ObjectInstance, java.util.Queue, org.jmxtrans.embedded.output.GraphiteWriter, org.jmxexporter.Result, java.lang.StringBuilder, org.jmxtrans.embedded.util.net.SocketOutputStream, java.util.concurrent.locks.ReadWriteLock, org.jmxtrans.embedded.output.GenericKeyedObjectPool, java.net.DatagramPacket, org.w3c.dom.Element, java.io.Writer, java.util.Iterator, JmxExporter, org.jmxtrans.embedded.spring.EmbeddedJmxTransFactory, java.lang.Object, org.jmxtrans.embedded.util.pool.KeyedPoolableObjectFactory, org.jmxexporter.JmxExporter, org.jmxexporter.util.DiscardingBlockingQueue, org.jmxtrans.embedded.output.AbstractOutputWriter, java.util.concurrent.atomic.AtomicInteger, org.jmxexporter.output.GraphiteWriter, ManagedGenericKeyedObjectPool, org.apache.commons.httpclient.HostConfiguration, javax.net.ssl.KeyManagerFactory, JmxExporterFactory, org.jmxexporter.ResultNameStrategy, com.fasterxml.jackson.core.JsonGenerator, java.util.Properties, org.jmxtrans.embedded.output.GraphitePickleWriter, org.jmxexporter.Query, org.jmxtrans.embedded.ResultNameStrategy, org.jmxtrans.embedded.EmbeddedJmxTransIntegrationTest, int, org.jmxtrans.embedded.output.OutputWriter, java.io.StringWriter, org.jmxtrans.embedded.util.json.PropertyPlaceholderResolver, javax.net.SocketFactory, java.util.Collection, java.io.OutputStream, char, javax.net.ssl.SSLContext, org.jmxexporter.util.net.SocketWriter, java.util.Map$Entry, fr.xebia.management.jmxexporter.Query, org.jmxexporter.util.json.PropertyPlaceholderResolver, javax.management.Query, java.net.Proxy, java.net.URLConnection, org.jmxtrans.embedded.Query, org.apache.commons.pool2.impl.GenericKeyedObjectPoolConfig, PyString, E, org.jmxexporter.QuerySimpleAttribute, org.jmxtrans.embedded.output.ManagedGenericKeyedObjectPool, org.jmxtrans.embedded.EmbeddedJmxTransShutdownHookIntegrationTest, com.fasterxml.jackson.databind.ObjectMapper, java.util.Set, java.io.Closeable, QueryAttribute, java.net.Socket, org.apache.commons.pool2.BaseKeyedPooledObjectFactory, java.util.concurrent.ScheduledExecutorService, java.util.Random, org.jmxtrans.embedded.config.EmbeddedJmxTrans, StackdriverWriter, java.nio.channels.DatagramChannel, javax.management.openmbean.TabularDataSupport, java.security.cert.X509Certificate, java.lang.Thread, ResultNameStrategy, java.io.ByteArrayOutputStream, com.sun.net.httpserver.HttpsServer, java.net.InetAddress, org.apache.commons.httpclient.HttpClient, java.util.concurrent.atomic.AtomicLong, java.net.DatagramSocket, 
embedded-jmxtrans/, rylarson, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
embedded-jmxtrans/, Franck, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
embedded-jmxtrans/, jaylemur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 
embedded-jmxtrans/, simon_mazas, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
embedded-jmxtrans/, Martin, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
embedded-jmxtrans/, Cyrille, 26, 2, 2, 4, 4, 2, 5, 4, 8, 2, 162, 2, 4, 6, 25, 3, 2, 1, 1, 2, 1, 48, 3, 1, 1, 6, 1, 4, 4, 2, 8, 6, 4, 6, 28, 46, 90, 10, 2, 1, 7, 13, 1, 1, 1, 16, 3, 4, 1, 6, 11, 1, 1, 6, 2, 15, 115, 1, 1, 50, 1, 8, 4, 45, 2, 15, 1, 16, 50, 22, 4, 58, 3, 23, 95, 6, 2, 2, 5, 1, 31, 7, 0, 4, 2, 1, 14, 18, 6, 2, 79, 2, 14, 35, 72, 32, 750, 113, 4, 8, 1, 8, 110, 4, 6, 6, 2, 7, 16, 2, 28, 6, 2, 4, 1, 5, 5, 16, 6, 3, 52, 11, 7, 1, 2, 24, 2, 2, 0, 4, 2, 2, 5, 2, 1, 38, 8, 2, 323, 22, 1, 4, 7, 20, 9, 15, 25, 7, 3, 1, 2, 2, 4, 2, 52, 5, 1, 26, 1, 1, 4, 13, 13, 1, 7, 30, 2, 8, 9, 8, 2, 5, 2, 6, 4, 1, 4, 8, 10, 0, 7, 7, 
embedded-jmxtrans/, Frédéric, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
embedded-jmxtrans/, scott, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 4, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 10, 0, 0, 148, 10, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 26, 0, 3, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
embedded-jmxtrans/, sjohnson@copperegg.com, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 21, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 2, 0, 0, 5, 0, 0, 87, 5, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 13, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
embedded-jmxtrans/, Adrian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
