Project, Author, org.eclipse.aether.impl.DefaultServiceLocator, org.sonatype.aether.RepositorySystem, org.sonatype.aether.artifact.Artifact, org.eclipse.aether.util.repository.DefaultAuthenticationSelector, org.sonatype.aether.impl.internal.DefaultServiceLocator, org.apache.maven.settings.Settings, org.eclipse.aether.repository.Proxy, java.lang.Long, java.util.Map, org.eclipse.aether.artifact.Artifact, java.net.URL, boolean, org.sonatype.aether.installation.InstallRequest, org.sonatype.aether.collection.CollectRequest, org.sonatype.aether.RepositorySystemSession, org.apache.maven.repository.internal.MavenServiceLocator, java.util.Map$Entry, java.lang.String, org.apache.maven.wagon.Wagon, org.eclipse.aether.repository.LocalRepositoryManager, org.apache.maven.settings.Server, org.sonatype.aether.repository.LocalRepository, org.eclipse.aether.util.repository.AuthenticationBuilder, org.sonatype.aether.transfer.TransferResource, org.sonatype.aether.util.artifact.DefaultArtifact, org.eclipse.aether.graph.Dependency, org.sonatype.aether.util.graph.PreorderNodeListGenerator, org.sonatype.aether.util.repository.DefaultAuthenticationSelector, long, int, java.io.PrintStream, org.apache.maven.settings.building.SettingsBuilder, java.util.Properties, org.sonatype.aether.graph.DependencyNode, org.eclipse.aether.collection.CollectRequest, org.sonatype.aether.impl.Installer, org.sonatype.aether.repository.LocalRepositoryManager, org.eclipse.aether.RepositorySystem, org.sonatype.aether.spi.locator.ServiceLocator, org.eclipse.aether.RepositorySystemSession, org.sonatype.aether.repository.Proxy, org.eclipse.aether.resolution.DependencyRequest, org.apache.maven.settings.building.DefaultSettingsBuildingRequest, org.apache.maven.settings.Mirror, org.sonatype.aether.resolution.DependencyRequest, org.eclipse.aether.DefaultRepositorySystemSession, org.sonatype.aether.repository.RemoteRepository, org.eclipse.aether.installation.InstallRequest, org.apache.maven.repository.internal.DefaultServiceLocator, org.apache.maven, org.eclipse.aether.spi.locator.ServiceLocator, org.sonatype.aether.repository.Authentication, org.eclipse.aether.repository.RemoteRepository, java.lang.StringBuilder, org.eclipse.aether.util.repository.DefaultMirrorSelector, java.util.Iterator, java.lang.Boolean, org.sonatype.aether.RepositoryEvent, org.eclipse.aether.repository.LocalRepository, org.eclipse.aether.graph.DependencyNode, java.text.DecimalFormat, org.eclipse.aether.artifact.DefaultArtifact, java.util.List, org.eclipse.aether.impl.Installer, jbundler.AetherSettings, org.sonatype.aether.transfer.TransferEvent, org.eclipse.aether.util.repository.DefaultProxySelector, java.lang.reflect.Array, org.apache.maven.repository.internal.MavenRepositorySystemSession, org.sonatype.aether.graph.Dependency, double, org.sonatype.aether.util.repository.DefaultMirrorSelector, org.eclipse.aether.RepositoryEvent, java.io.File, org.sonatype.aether.util.repository.DefaultProxySelector, org.eclipse.aether.util.graph.visitor.PreorderNodeListGenerator, 
jbundler/, mkristian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Christian, 1, 5, 0, 1, 0, 7, 3, 0, 3, 6, 2, 7, 0, 0, 0, 0, 2, 11, 0, 4, 2, 4, 3, 0, 0, 5, 0, 2, 0, 2, 0, 1, 8, 0, 1, 0, 0, 1, 0, 1, 4, 1, 2, 5, 0, 1, 2, 1, 0, 2, 1, 7, 3, 2, 1, 0, 4, 0, 2, 3, 0, 2, 5, 1, 1, 0, 1, 0, 3, 0, 0, 1, 9, 5, 1, 2, 
jbundler/, Stefan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Kristian, 0, 4, 14, 0, 1, 0, 0, 1, 2, 0, 0, 6, 1, 2, 2, 3, 1, 17, 1, 0, 0, 2, 0, 3, 0, 0, 6, 0, 7, 4, 6, 0, 0, 10, 0, 1, 4, 0, 1, 0, 0, 0, 0, 0, 2, 0, 8, 0, 3, 0, 0, 0, 0, 9, 0, 2, 0, 20, 0, 0, 1, 0, 10, 0, 0, 6, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 
jbundler/, mluu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Ryan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Pierre-Alexandre, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
jbundler/, Arthur, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Tom, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Cameron, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Rodrigo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Alex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jbundler/, Anna, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
