Project, Author, org.jdeferred.DeferredRunnable, org.jdeferred.android.AlwaysCallback, org.jdeferred.Promise.State, org.jdeferred.Promise, org.jdeferred.ProgressCallback, java.util.List, java.lang.Throwable, java.util.concurrent.Future, org.jdeferred.DoneCallback, org.jdeferred.AlwaysCallback, D, org.jdeferred.impl.ProgressCallback, org.jdeferred.multiple.MasterProgress, org.jdeferred.android.DeferredObject, P, org.jdeferred.impl.DoneCallback, T, org.jdeferred.android.DeferredAsyncTask, org.jdeferred.impl.FilteredPromise$NoOpFailFilter, org.jdeferred.android.ProgressCallback, org.jdeferred.android.DeferredFutureTask, org.jdeferred.impl.FailPipe, java.lang.Exception, java.lang.reflect.Array, D_OUT, org.jdeferred.impl.DonePipe, org.jdeferred.android.annotation.ExecutionScope, android.os.Bundle, org.jdeferred.impl.FailCallback, State, Progress, org.jdeferred.multiple.OneProgress, org.jdeferred.Deferred, org.jdeferred.impl.ValueHolder, org.jdeferred.DeferredCallable, java.util.concurrent.ExecutorService, java.lang.reflect.Method, org.jdeferred.impl.Promise, java.lang.Class, java.lang.Runnable, android.os.Message, org.jdeferred.impl.DeferredCallable, org.jdeferred.impl.FilteredPromise$NoOpDoneFilter, org.jdeferred.impl.DeferredFutureTask, org.jdeferred.impl.DeferredRunnable, org.slf4j.Logger, P_OUT, org.jdeferred.android.Promise, org.jdeferred.android.AndroidDeferredManager, Result, org.jdeferred.android.FailCallback, org.jdeferred.impl.ProgressFilter, android.view.Menu, boolean, org.jdeferred.impl.FailFilter, java.lang.String, org.jdeferred.android.AndroidDeferredObject$CallbackMessage, java.util.concurrent.TimeUnit, long, ValueHolder, java.util.concurrent.Callable, org.jdeferred.multiple.State, F, org.jdeferred.impl.DefaultDeferredManager, Callback, R, org.jdeferred.DeferredFutureTask, V, org.jdeferred.FailCallback, org.jdeferred.android.AndroidDeferredObject$InternalHandler, org.jdeferred.multiple.OneReject, java.lang.Object, org.jdeferred.impl.AlwaysCallback, org.jdeferred.impl.State, org.jdeferred.multiple.OneResult, java.lang.Integer, int, F_OUT, AndroidExecutionScope, org.jdeferred.android.AndroidExecutionScope, org.jdeferred.impl.FilteredPromise$NoOpProgressFilter, org.jdeferred.impl.DoneFilter, org.jdeferred.DeferredManager.StartPolicy, java.lang.Void, org.jdeferred.android.DoneCallback, org.jdeferred.android.State, java.util.concurrent.atomic.AtomicBoolean, java.util.concurrent.atomic.AtomicInteger, org.jdeferred.impl.Deferred, org.jdeferred.multiple.MultipleResults, org.jdeferred.impl.ProgressPipe, 
jdeferred/, saturnism, 2, 1, 4, 13, 1, 5, 14, 5, 1, 1, 36, 8, 1, 1, 27, 15, 7, 1, 1, 1, 1, 4, 0, 29, 3, 5, 0, 1, 11, 6, 2, 0, 7, 2, 3, 3, 0, 4, 0, 5, 2, 1, 1, 1, 1, 2, 2, 3, 1, 3, 1, 5, 1, 8, 8, 12, 1, 1, 1, 17, 18, 2, 29, 1, 3, 1, 1, 3, 1, 1, 6, 91, 4, 5, 3, 14, 64, 2, 1, 4, 1, 11, 2, 1, 1, 4, 1, 15, 7, 16, 3, 
jdeferred/, Jason, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jdeferred/, Frankie, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 
jdeferred/, Anton, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jdeferred/, Enno, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jdeferred/, David, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jdeferred/, Daniel, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jdeferred/, Ray, 2, 1, 6, 14, 1, 5, 18, 7, 1, 1, 32, 5, 1, 1, 26, 9, 8, 1, 1, 1, 1, 6, 1, 27, 5, 8, 1, 1, 7, 3, 2, 1, 7, 0, 3, 5, 1, 8, 1, 4, 2, 1, 1, 1, 1, 4, 3, 4, 1, 3, 1, 4, 1, 6, 6, 14, 1, 1, 6, 28, 14, 0, 28, 1, 3, 2, 0, 1, 1, 1, 5, 38, 3, 3, 2, 17, 51, 3, 1, 7, 1, 8, 7, 2, 1, 4, 1, 37, 5, 11, 4, 
jdeferred/, PRADA, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
jdeferred/, funnythingz, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
