Project, Author, net.i2cat.netconf.rpc.Operation, NetconfSession, net.i2cat.netconf.transport.Transport, net.i2cat.netconf.test.BaseNetconf$TestMessageQueueListener, ch.ethz.ssh2.Connection, int, java.io.StringWriter, net.i2cat.netconf.rpc.RPCElement, java.lang.Exception, java.util.Map, java.util.ArrayList, java.io.PipedOutputStream, boolean, java.io.FileInputStream, net.i2cat.netconf.rpc.Capability, Reply, java.util.Map$Entry, java.lang.String, java.lang.StringBuffer, TransportListener, java.io.InputStreamReader, org.xml.sax.XMLReader, java.util.Vector, java.lang.reflect.Array, org.apache.commons.configuration.BaseConfiguration, net.i2cat.netconf.INetconfSession, java.lang.Throwable, net.i2cat.netconf.rpc.ErrorSeverity, long, java.net.URI, org.xml.sax.Attributes, net.i2cat.netconf.messageQueue.MessageQueue, java.util.HashMap, net.i2cat.netconf.transport.TransportListener, net.i2cat.netconf.rpc.Query, net.i2cat.netconf.utils.DummySimulatorHelper, java.lang.Error, java.io.PipedInputStream, org.apache.commons.logging.Log, net.i2cat.netconf.IQuery, net.i2cat.netconf.rpc, org.apache.commons.configuration.CompositeConfiguration, java.io.BufferedReader, net.i2cat.netconf.errors.TransportException, net.i2cat.netconf.transport.DummySimulatorHelper, java.lang.StringBuilder, net.i2cat.netconf.test.BaseNetconfTest$TestMessageQueueListener, java.lang.Class, Capability, net.i2cat.netconf.rpc.Reply, org.apache.commons.configuration.Configuration, net.i2cat.netconf.rpc.Hello, ch.ethz.ssh2.Session, java.util.concurrent.ScheduledExecutorService, org.xml.sax.SAXParseException, java.io.InputStream, LoadConfigurationQuery.Format, net.i2cat.netconf.utils.TimerKeepAlive, net.i2cat.netconf.transport.TransportFactory, net.i2cat.netconf.rpc.ErrorType, net.i2cat.netconf.transport.TransportContentParser, java.lang.Object, java.io.PrintWriter, java.lang.Thread, net.i2cat.netconf.SessionContext, java.util.concurrent.ScheduledFuture, net.i2cat.netconf.messageQueue.MessageQueueListener, ?, net.i2cat.netconf.utils.FileHelper, LoadConfigurationQuery.Action, Query, java.io.File, SessionContext, net.i2cat.netconf.NetconfSession, net.i2cat.netconf.transport.VirtualTransport, net.i2cat.netconf.rpc.ErrorTag, 
netconf4j/, Julio, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, eliRigol, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, Pau, 44, 1, 2, 0, 9, 24, 1, 19, 2, 1, 35, 3, 45, 1, 42, 2, 1, 310, 27, 14, 3, 5, 19, 6, 0, 22, 3, 9, 11, 20, 2, 23, 6, 18, 30, 1, 11, 1, 19, 5, 1, 4, 4, 3, 1, 5, 1, 2, 2, 24, 4, 9, 3, 2, 4, 3, 1, 2, 2, 9, 5, 3, 2, 4, 47, 2, 4, 2, 1, 1, 30, 2, 1, 11, 2, 7, 
netconf4j/, Jay, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, Roc, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, pau-minoves, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, David, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, evelyn_torras, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, Roselló, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
netconf4j/, logoff, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
