Project, Author, hudson.plugins.promoted_builds.PublisherImpl$DescriptorImpl, PromotionBadgeList, PromotionTrigger, FreeStyleBuild, hudson.plugins.promoted_builds.AbstractProject, hudson.model.Item, hudson.model.User, java.util.Stack, hudson.model.Label, hudson.plugins.promoted_builds.PromotionConfig, hudson.model.Cause.UpstreamCause, org.acegisecurity.GrantedAuthority, java.util.List, hudson.security.Permission, java.util.concurrent.Future, hudson.plugins.promoted_builds.tokenmacro.AbstractBuild, hudson.slaves.WorkspaceList, java.io.PrintStream, hudson.plugins.promoted_builds.PromotionCause, WebClient, hudson.model.AutoCompletionCandidates, hudson.model.Cause, JobPropertyImpl, PromotedProjectAction, hudson.model.AbstractBuild, hudson.model.TopLevelItem, T, hudson.plugins.promoted_builds.conditions.ManualCondition, hudson.plugins.promoted_builds.util.ItemPathResolver$ResolverManager, java.util.SortedMap, hudson.plugins.promoted_builds.conditions.ManualCondition$ManualApproval, PromotedBuildParameterValue, hudson.model.Hudson, hudson.model.Cause.UserCause, org.kohsuke.stapler.StaplerResponse, java.lang.reflect.Array, boolean, hudson.EnvVars, hudson.model.FreeStyleProject, com.gargoylesoftware.htmlunit.html.HtmlElement, com.gargoylesoftware.htmlunit.html.HtmlForm, com.gargoylesoftware.htmlunit.html.HtmlImage, jenkins.util.TimeDuration, java.util.ArrayList, hudson.tasks.BuildStep, hudson.plugins.promoted_builds.conditions.ManualCondition$DescriptorImpl, hudson.plugins.promoted_builds.tasks.RedeployBatchTaskPublisher$DescriptorImpl, hudson.tasks.BuildTrigger, java.util.StringTokenizer, hudson.plugins.promoted_builds.conditions.UpstreamPromotionCondition$DescriptorImpl, PromotionCondition, hudson.plugins.promoted_builds.parameters.PromotedBuildParameterValue, hudson.plugins.promoted_builds.PromotionConditionDescriptor, hudson.plugins.promoted_builds.conditions.AbstractProject, PromotionConfig, hudson.model.Job, com.gargoylesoftware.htmlunit.html.HtmlPage, ?, hudson.plugins.promoted_builds.PromotionEnvironmentVariablesTest$MockFolder, java.util.Calendar, hudson.tasks.BuildWrapper, hudson.model.ParametersAction, java.lang.Class, hudson.model.ListView, PromotionProcess, hudson.model.AbstractProject, Promotion, java.io.InputStream, hudson.FilePath, java.util.ListIterator, hudson.plugins.promoted_builds.CopyOnWriteList, hudson.plugins.promoted_builds.Job, org.jvnet.hudson.test.MockFolder, ParametersAction, int, hudson.plugins.promoted_builds.PromotionProcessJob, hudson.plugins.promoted_builds.AbstractBuild, java.io.File, hudson.model.TaskListener, hudson.plugins.promoted_builds.JobPropertyImpl, hudson.plugins.promoted_builds.Promotion, hudson.model.Environment, java.util.Map, java.util.Collection, hudson.plugins.promoted_builds.tasks.AbstractBuild, hudson.plugins.promoted_builds.conditions.AbstractBuild, java.lang.String, hudson.plugins.promoted_builds.conditions.DownstreamPassCondition$Badge, Status, org.kohsuke.stapler.StaplerRequest, long, hudson.plugins.promoted_builds.PromotedBuildAction, org.jvnet.hudson.test.JenkinsRule, hudson.model.Project, hudson.security.ProjectMatrixAuthorizationStrategy, hudson.util.ListBoxModel, hudson.model.Descriptor, PromotionTargetAction, FreeStyleProject, com.gargoylesoftware.htmlunit.WebRequestSettings, java.lang.StringBuilder, hudson.model.FreeStyleBuild, hudson.BulkChange, LastBuildPromotionStatusColumn, hudson.plugins.promoted_builds.PromotedProjectAction, hudson.plugins.promoted_builds.PromotionProcess, hudson.model.Cause.UserIdCause, java.util.Iterator, PromotionBadge, java.lang.Object, hudson.plugins.promoted_builds.DescribableList, hudson.model.BuildListener, hudson.model.Build, PromotionConditionDescriptor, hudson.tasks.JavadocArchiver, jenkins.model.Jenkins, hudson.model.Queue, hudson.model.Action, java.lang.Integer, net.sf.json.JSONArray, hudson.plugins.promoted_builds.KeepBuildForeverAction$KeepBuildForeverDescriptor, java.util.regex.Pattern, PromotionParametersAction, hudson.ExtensionList, java.util.Map$Entry, hudson.plugins.promoted_builds.conditions.DownstreamPassCondition$PseudoDownstreamBuilds, hudson.Launcher, hudson.model.ParameterDefinition, java.util.logging.Logger, hudson.plugins.promoted_builds.conditions.ManualCondition$Badge, hudson.model.Fingerprint.BuildPtr, hudson.plugins.promoted_builds.PromotionCriterion, ManualCondition, hudson.plugins.promoted_builds.JobPropertyImpl$DescriptorImpl, PromotedBuildAction, hudson.plugins.promoted_builds.Build, hudson.model.TopLevelItemDescriptor, hudson.plugins.promoted_builds.KeepBuildForeverActionTest$WaitCondition, hudson.model.ParameterValue, net.sf.json.JSONObject, hudson.security.PermissionGroup, hudson.plugins.promoted_builds.conditions.UpstreamPromotionCondition$Badge, hudson.tasks.BuildStepDescriptor, hudson.plugins.promoted_builds.conditions.DownstreamPassCondition$DescriptorImpl, hudson.model.Queue.Item, hudson.plugins.promoted_builds.Status, java.util.Set, hudson.model.Run, ParameterValue, hudson.plugins.promoted_builds.conditions.ManualCondition.ManualApproval, hudson.plugins.promoted_builds.tokenmacro.PromotedEnvVarTokenMacroTest$TokenMacroExpressionRecorder, hudson.model.Result, hudson.model.Node, java.lang.Boolean, hudson.model.Executor, hudson.model.ItemGroup, java.lang.Thread, hudson.model.DependencyGraph, hudson.plugins.promoted_builds.PromotionBadgeList, hudson.plugins.promoted_builds.LastBuildPromotionStatusColumn, hudson.plugins.promoted_builds.conditions.DownstreamPassCondition, hudson.plugins.promoted_builds.PromotionCondition, hudson.plugins.promoted_builds.PostPromotionTask, 
promoted-builds-plugin/, Nicolas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, Grant, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, CloudBees, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, Robert, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, Olivier, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, ybonnel, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, lshatzer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, Jan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, vtintillier, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
promoted-builds-plugin/, OHTAKE, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
