Project, Author, javax.swing.JCheckBox, java.util.Properties, int, java.lang.Float, OutputProcess, javax.swing.JRadioButton, java.util.regex.Pattern, java.io.OutputStream, OutputProcess$Word, javax.swing.JButton, java.io.FileInputStream, Segmentation$Tier, SearchHistoryPath, javax.swing.ButtonGroup, java.lang.String, Segmentation$Segment, Segmentation, Main, java.util.Vector, javax.swing.JScrollPane, MLF$LabFile, java.lang.Throwable, long, java.nio.ByteBuffer, java.util.HashMap, java.util.TreeSet, javax.swing.JProgressBar, java.util.LinkedList, Segment, WebVTT.Cue, WebVTT, float, MLF, java.io.BufferedReader, KaldiASR, TextGrid, SCPFile, java.awt.event.ActionEvent, OutputProcess.Word, MLF.LabFile, javax.swing.JTextArea, java.io.InputStream, java.util.ListIterator, java.util.ArrayList, WordProbMap, javax.swing.JPanel, java.util.List, java.io.BufferedWriter, java.io.PrintWriter, double, Tier, java.lang.reflect.Array, Segmentation.Segment, boolean, ChiUtf8Segmenter, javax.swing.JComboBox, java.io.File, java.lang.StringBuffer, WebVTT$Cue, Segmentation.Tier, 
pykaldi/, Ondrej, 4, 2, 347, 22, 3, 2, 11, 2, 4, 2, 12, 2, 11, 1, 540, 3, 2, 1, 5, 1, 2, 1, 4, 1, 22, 22, 1, 11, 1, 1, 1, 97, 1, 34, 1, 1, 1, 2, 1, 1, 1, 24, 33, 55, 11, 4, 2, 11, 4, 12, 1, 113, 1, 23, 11, 1, 19, 22, 3, 1, 
pykaldi/, bouliagi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, bbabaali, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, vpanayotov, 0, 0, 30, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 7, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 1, 0, 0, 1, 0, 0, 0, 10, 0, 2, 1, 0, 0, 2, 0, 0, 
pykaldi/, agospodinov, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, xiaohuizhang, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, Filip, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, hhx502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, sikoried, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, korzinek, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, qipeng, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, cweng, 0, 0, 30, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 7, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 1, 0, 0, 1, 0, 0, 0, 10, 0, 2, 1, 0, 0, 2, 0, 0, 
pykaldi/, canbaz, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, katakombi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, ijanda, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, jtrmal, 0, 0, 30, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 7, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 1, 0, 0, 1, 0, 0, 0, 10, 0, 2, 1, 0, 0, 2, 0, 0, 
pykaldi/, yajiemiao, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
pykaldi/, yanminqian, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
